id_annee;id_region;id_age;id_sexe;population
2004;Chaouia Ouardigha;moins de 5 ans;M;85532
2004;Chaouia Ouardigha;moins de 5 ans;F;81914
2004;Chaouia Ouardigha;5 à 9 ans;M;89884
2004;Chaouia Ouardigha;5 à 9 ans;F;85812
2004;Chaouia Ouardigha;10 à 14 ans;M;94010
2004;Chaouia Ouardigha;10 à 14 ans;F;88871
2004;Chaouia Ouardigha;15 à 19 ans;M;87583
2004;Chaouia Ouardigha;15 à 19 ans;F;85350
2004;Chaouia Ouardigha;20 à 24 ans;M;79101
2004;Chaouia Ouardigha;20 à 24 ans;F;81723
2004;Chaouia Ouardigha;25 à 34 ans;M;125180
2004;Chaouia Ouardigha;25 à 34 ans;F;130786
2004;Chaouia Ouardigha;35 à 44 ans;M;95680
2004;Chaouia Ouardigha;35 à 44 ans;F;103081
2004;Chaouia Ouardigha;45 à 54 ans;M;76700
2004;Chaouia Ouardigha;45 à 54 ans;F;72443
2004;Chaouia Ouardigha;55 à 64 ans;M;38928
2004;Chaouia Ouardigha;55 à 64 ans;F;43227
2004;Chaouia Ouardigha;65 à 74 ans;M;26382
2004;Chaouia Ouardigha;65 à 74 ans;F;32054
2004;Chaouia Ouardigha;75 à 84 ans;M;12283
2004;Chaouia Ouardigha;75 à 84 ans;F;14992
2004;Chaouia Ouardigha;85 ans et plus;M;7412
2004;Chaouia Ouardigha;85 ans et plus;F;7123
