id_annee;id_region;id_age;id_sexe;population
2004;Doukkala Abda;moins de 5 ans;M;107162
2004;Doukkala Abda;moins de 5 ans;F;102877
2004;Doukkala Abda;5 à 9 ans;M;110811
2004;Doukkala Abda;5 à 9 ans;F;107095
2004;Doukkala Abda;10 à 14 ans;M;117334
2004;Doukkala Abda;10 à 14 ans;F;112308
2004;Doukkala Abda;15 à 19 ans;M;108015
2004;Doukkala Abda;15 à 19 ans;F;105986
2004;Doukkala Abda;20 à 24 ans;M;94783
2004;Doukkala Abda;20 à 24 ans;F;96039
2004;Doukkala Abda;25 à 34 ans;M;144121
2004;Doukkala Abda;25 à 34 ans;F;145492
2004;Doukkala Abda;35 à 44 ans;M;112339
2004;Doukkala Abda;35 à 44 ans;F;117351
2004;Doukkala Abda;45 à 54 ans;M;93631
2004;Doukkala Abda;45 à 54 ans;F;85182
2004;Doukkala Abda;55 à 64 ans;M;47330
2004;Doukkala Abda;55 à 64 ans;F;51180
2004;Doukkala Abda;65 à 74 ans;M;33776
2004;Doukkala Abda;65 à 74 ans;F;38167
2004;Doukkala Abda;75 à 84 ans;M;16201
2004;Doukkala Abda;75 à 84 ans;F;17340
2004;Doukkala Abda;85 ans et plus;M;6481
2004;Doukkala Abda;85 ans et plus;F;7188
